title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Bleach: Sennen Kessen-hen,1,9.11,537,376409,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",VIZ Media,Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),15099

Gintama o,4,9.07,338,575076,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,"['TV Tokyo', 'Aniplex', 'Dentsu']",Funimation,Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Sci-Fi']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,15469

Kaguya-sama wa Kokurasetai: Ultra Romantic,5,9.07,230,745468,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,"['Comedy', 'Romance']",nan,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,26800

Vinland Saga Season 2,26,8.81,749,286036,TV,24,Currently Airing,"Jan 10, 2023 to ?",Winter 2023,"['Dentsu', 'Kodansha', 'Twin Engine']",add some,MAPPA,Manga,"['Action', 'Adventure', 'Drama']",nan,Seinen,25 min. per ep.,R - 17+ (violence & profanity),2731

Bungou Stray Dogs 4th Season,83,8.59,1282,164621,TV,13,Currently Airing,"Jan 4, 2023 to ?",Winter 2023,"['WOWOW', 'Lantis', 'Movic', 'Glovision', 'Crunchyroll', 'Kadokawa', 'Sony Music Solutions', 'Bandai Namco Music Live']",add some,Bones,Manga,"['Action', 'Mystery', 'Supernatural']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),1431

Golden Kamuy 4th Season,258,8.28,2382,67701,TV,13,Currently Airing,"Oct 3, 2022 to ?",Fall 2022,"['NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']",add some,Brain's Base,Manga,"['Action', 'Adventure']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),361

Blue Lock,265,8.27,492,409627,TV,24,Currently Airing,"Oct 9, 2022 to ?",Fall 2022,"['TV Asahi', 'Kodansha', ""Toy's Factory"", 'Crunchyroll', 'Bandai Spirits', 'Bit grooove promotion', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']",add some,8bit,Manga,[],Team Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,5278

Violet Evergarden,61,8.67,51,1619687,TV,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",Funimation,Kyoto Animation,novel,"['Drama', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,55709

Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,290,8.25,52,1580129,TV,13,Finished Airing,"Oct 4, 2018 to Dec 27, 2018",Fall 2018,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",Aniplex of America,CloverWorks,novel,"['Drama', 'Romance', 'Supernatural']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,43885

Boku no Hero Academia 4th Season,696,7.92,53,1572556,TV,25,Finished Airing,"Oct 12, 2019 to Apr 4, 2020",Fall 2019,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,8170

Another,1789,7.48,54,1570107,TV,12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",Winter 2012,"['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']",Sentai Filmworks,P.A. Works,Novel,"['Horror', 'Mystery', 'Supernatural']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),16706

Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,166,8.41,55,1566247,TV,12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",Winter 2019,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,[],nan,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,36279

Dr. Stone,251,8.29,56,1562592,TV,24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019",Summer 2019,"['TOHO animation', 'Shueisha', '8PAN']",Funimation,TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,25770

Shokugeki no Souma,381,8.17,57,1550783,TV,24,Finished Airing,"Apr 4, 2015 to Sep 26, 2015",Spring 2015,"['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will']",Sentai Filmworks,J.C.Staff,Manga,"['Gourmet', 'Ecchi']",School,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,23302

Psycho-Pass,205,8.34,58,1533608,TV,22,Finished Airing,"Oct 12, 2012 to Mar 22, 2013",Fall 2012,"['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",Funimation,Production I.G,Original,"['Action', 'Sci-Fi', 'Suspense']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),37116

One Punch Man 2nd Season,1764,7.49,59,1533166,TV,12,Finished Airing,"Apr 10, 2019 to Jul 3, 2019",Spring 2019,"['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits']",VIZ Media,J.C.Staff,manga,"['Action', 'Comedy']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),6068

Soul Eater,830,7.84,60,1531545,TV,51,Finished Airing,"Apr 7, 2008 to Mar 30, 2009",Spring 2008,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory']",Funimation,Bones,Manga,"['Action', 'Comedy', 'Fantasy']",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,25400

Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,220,8.32,61,1522847,TV,11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011",Spring 2011,"['Aniplex', 'Dentsu', 'Fuji TV', 'Fujipacific Music']","NIS America, Inc.",A-1 Pictures,Original,"['Drama', 'Supernatural']",nan,nan,22 min. per ep.,PG-13 - Teens 13 or older,31929

Darling in the FranXX,2959,7.22,62,1520008,TV,24,Finished Airing,"Jan 13, 2018 to Jul 7, 2018",Winter 2018,"['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment']",Funimation,A-1 Pictures,Original,"['Action', 'Drama', 'Romance', 'Sci-Fi']",Mecha,nan,24 min. per ep.,PG-13 - Teens 13 or older,30401

JoJo no Kimyou na Bouken (TV),729,7.90,63,1518306,TV,26,Finished Airing,"Oct 6, 2012 to Apr 6, 2013",Fall 2012,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",VIZ Media,David Production,Manga,"['Action', 'Adventure', 'Supernatural']",Vampire,Shounen,24 min. per ep.,R - 17+ (violence & profanity),34933

Tengen Toppa Gurren Lagann,73,8.63,64,1514476,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']",ADV Films,Gainax,Original,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",Mecha,nan,24 min. per ep.,PG-13 - Teens 13 or older,74563

